"","Depthm","T_degC","Salnty"
"209691",1192,3.52,34.53
"298647",302,6.81,34.14
"518835",182,10,34.131
"477697",46,22.25,34.87
"634998",250,7.81,34
"502423",30,14,33.59
"169808",500,5.82,34.275
"698239",516,6.66,34.311
"441683",800,4.18,34.38
"30988",99,9.5,33.42
"704888",20,16.77,33.344
"389145",30,17.18,33.68
"435294",20,14.61,32.848
"770520",46,14.35,33.009
"650597",113,11.25,33.346
"526481",100,8.88,33.867
"837689",40,11.273,33.6588
"667300",100,9.9,33.35
"380942",600,5.34,34.299
"147552",30,15.44,33.493
"259023",10,20.43,33.653
"437220",250,8.23,33.974
"42741",800,4.25,34.416
"290585",135,12.72,33.77
"201989",2293,1.85,34.67
"735765",10,17.66,33.624
"852541",5,17.276,33.3893
"779152",50,12.11,33.526
"237387",73,9.98,33.57
"31379",125,9.54,33.676
"764647",45,13,33.221
"824745",10,19.02,33.349
"207694",220,8.5,34.14
"492899",900,4.72,34.48
"522607",0,17.17,33.469
"487589",30,14.09,33.5
"534077",593,5.93,34.38
"844492",230,8.333,33.9414
"698228",199,9.62,34.175
"496507",150,9.9,34.17
"513319",96,10.21,33.6
"338888",250,9.32,34.035
"265403",82,13.22,33.49
"191844",73,11.01,33.98
"145211",500,6.35,34.391
"255966",20,18.81,33.58
"531039",137,10.05,33.336
"509496",11,14.33,33.469
"192518",30,13.94,33.54
"722966",269,8.71,33.986
"540988",75,11.93,33.548
"640905",3049,1.57,34.665
"173757",125,9.17,33.834
"245616",50,24.51,34.65
"838033",86,10.993,33.4407
"586244",100,12.5,33.582
"39206",800,4.31,34.442
"423912",30,10.54,33.76
"844375",0,19.116,33.6093
"167380",1301,3.27,34.54
"155493",400,6.14,34.226
"738344",16,14.14,33.54
"345436",139,8.8,33.881
"695197",124,10.13,33.525
"698149",60,13.37,33.31
"462530",10,20.39,34.38
"697996",2,18.43,33.18
"731750",0,15.82,33.55
"615201",395,6.89,34.242
"325955",125,9.47,33.852
"588489",51,13.39,33.47
"845072",86,14.625,33.2602
"621934",100,9.62,34.035
"580324",78,12.21,33.59
"485113",492,6.43,34.313
"521506",315,7.98,34.178
"227654",300,10.86,34.714
"414512",125,13.8,33.71
"569808",30,13.61,33.232
"23939",800,4.26,34.377
"330238",593,5.2,34.316
"814317",170,9.22,34.149
"771958",56,14.8,33.107
"24593",400,5.79,34.034
"382603",250,8.46,34.22
"447863",200,9.98,34.285
"835648",16,10.118,33.883
"46557",27,15.57,33.49
"420038",300,6.43,34.02
"250709",200,9.68,33.644
"102849",300,7.04,34.142
"57647",302,9.18,34.52
"758959",30,18.91,32.883
"517966",133,11.46,33.822
"175913",237,8.55,34.17
"707201",124,11.25,33.758
"767724",0,16.75,33.21
"176939",1000,3.67,34.48
"234968",0,20.8,33.73
"17433",400,6.93,34.228
"466484",250,9.78,34.38
"470837",500,5.42,34.11
"836474",523,5.849,34.3412
"600419",125,9.31,34.002
"542990",450,5.84,34.173
"350838",400,8.06,34.461
"697915",250,8.2,33.964
"534079",0,19.84,33.333
"556238",149,10.13,33.844
"15869",137,9.64,33.89
"751761",20,15.18,33.356
"623238",21,18.68,33.225
"336860",124,9.07,33.972
"19340",150,11.17,33.546
"173810",150,16.51,34.216
"133811",500,6.26,34.294
"263656",154,10,33.84
"352028",200,9.59,34.048
"58787",30,19.27,33.145
"278909",75,15.45,33.451
"74321",800,4.27,34.352
"228176",110,13.28,34.75
"58414",100,9.97,33.717
"799358",61,12.51,32.961
"605325",0,14.5,33.043
"44377",484,5.26,34.14
"496318",200,10.34,34.3
"123044",238,8.97,34.05
"566798",73,10.75,33.668
"335977",497,6.85,34.327
"789341",50,14.44,33.077
"386236",125,9.16,33.74
"252527",250,9.73,34.412
"628031",275,7.5,34.077
"303260",0,21.35,34.67
"45482",75,12.36,33.102
"499638",20,16.44,33.67
"250271",144,9.93,33.77
"446114",150,9.14,33.9
"713379",515,5.63,34.213
"517323",37,17.97,33.595
"817910",70,10.62,33.37
"566315",250,7.78,34.076
"514486",250,8.37,34.115
"438159",300,6.69,34.08
"797311",150,9.26,34.149
"475186",30,15.33,35.15
"542940",30,14.02,33.203
"772924",511,6,34.282
"253579",30,16.3,33.27
"815980",400,6.17,34.059
"625619",800,4.44,34.424
"184577",50,10.41,33.426
"453619",180,11,34.33
"57677",196,10.52,33.96
"203933",389,8.43,34.51
"204519",523,5.65,34.25
"143256",153,9.31,33.92
"337552",572,5.23,34.318
"182008",260,9.25,34.34
"834610",2,13.44,33.5071
"718003",250,8.23,34.102
"154760",34,16.89,33.73
"150599",500,6.71,34.433
"631671",700,5.25,34.382
"753579",200,8.3,34.071
"197268",100,9.3,33.721
"373271",250,9.24,33.941
"214124",128,12.78,34.8
"228718",700,11.72,34.895
"380066",158,10.68,34.179
"841992",20,15.544,33.5511
"783146",169,10.02,33.963
"174515",1148,3.69,34.64
"498890",75,10.96,33.62
"675623",205,8.61,34.018
"333901",51,14.79,33.343
"464760",276,9.63,34.413
"408796",100,10.1,33.1
"523385",165,8.67,33.999
"294666",115,10.8,33.89
"705938",119,10.08,33.634
"126420",52,15.67,33.35
"549038",200,9.22,33.91
"762597",500,6.39,34.321
"840574",15,16.536,33.5543
"108589",0,20.44,34.6
"387289",68,14.22,33.315
"428327",125,8.48,33.94
"377716",173,8.77,34.138
"384094",300,7.63,34.16
"845716",250,8.421,34.1352
"208862",134,8.89,33.87
"632044",150,8.88,33.976
"718039",100,11.38,33.674
"665944",20,17.01,33.143
"733994",317,6.98,34.091
"398219",267,7.93,34.05
"222538",600,5.28,34.278
"698158",169,9.6,33.921
"665487",125,9.32,33.4
"505363",50,15.73,33.47
"11591",1311,2.64,34.52
"306162",195,8.23,33.98
"767772",269,9.14,34.201
"188287",35,14.63,33.57
"637879",250,7.71,34.066
"361818",10,12.92,33.061
"325813",500,6.1,34.266
"442789",250,8.83,33.94
"710991",20,15.68,33.594
"492779",10,15.81,33.73
"317902",162,7.28,33.945
"141123",500,7.27,34.407
"688086",75,16.35,33.503
"685978",125,11.72,33.607
"777926",76,16.33,33.446
"268018",60,15.11,33.31
"820330",40,13.56,32.907
"694927",500,6.32,34.222
"216912",0,9.46,33.5
"530707",20,12.43,33.719
"628983",56,14.94,33.113
"818254",101,10.54,33.297
"361304",1100,3.61,34.5
"618200",20,16.11,33.361
"341618",501,6.32,34.295
"821063",30,11.89,33.424
"57976",800,4.83,34.394
"518533",155,11.15,33.98
"423245",0,15.01,33.56
"50639",294,9.21,34.36
"834057",39,12.066,33.4638
"596240",50,12.67,33.443
"8832",900,3.91,34.346
"144996",150,8.73,33.585
"517257",10,17.01,33.198
"793237",436,6.92,34.265
"40519",500,5.1,34.149
"194413",196,7.9,34.13
"548521",40,12.31,33.561
"138025",288,9.76,34.42
"590967",345,6.77,34.076
"323849",82,14.34,33.2
"112468",300,8.23,34.237
"296365",50,14.23,33.653
"615582",50,14.43,32.943
"117859",250,8.33,34.103
"126075",495,5.92,34.29
"250077",50,14.23,33.55
"861387",142,9.467,33.949
"439439",50,12.56,32.99
"596793",129,9.08,33.93
"305170",630,5.02,34.35
"779808",400,6.33,34.118
"730288",62,10.69,33.368
"825554",250,7.86,34.04
"349859",1092,3.76,34.512
"793590",50,12.8,33.332
"457883",2400,1.82,34.655
"94502",10,11.04,33.18
"648444",277,8.1,34.101
"130756",125,8.31,33.962
"628575",600,5.85,34.339
"411023",200,8.24,34.058
"508383",10,14.25,33.57
"685223",50,13.33,33.341
"126168",248,7.82,33.98
"306704",20,11.82,33.288
"784944",150,9.82,33.611
"597164",94,10.19,33.563
"231301",334,8.86,34.54
"427325",250,8.1,34.01
"835703",441,6.564,34.2196
"625296",30,13.55,33.634
"837019",70,10.284,33.7679
"152265",102,9.79,33.92
"578349",150,8.81,33.83
"136814",30,12.53,33.2
"327586",800,4.99,34.464
"466927",2362,1.78,34.62
"35814",282,9.5,34.36
"359460",420,6.81,34.249
"440568",200,11.53,34.62
"173005",900,4.58,34.563
"193428",94,10.34,33.25
"774642",170,8.67,33.854
"710410",31,14.23,33.103
"748757",100,9.53,33.981
"654523",20,14.67,33.447
"775043",20,15.17,33.349
"459084",150,12.52,34.745
"601898",85,14.34,33.504
"599551",20,17.59,33.243
"651237",112,11.22,33.35
"264190",100,15.53,33.795
"845231",125,10.545,33.895
"751301",139,9.31,33.821
"124776",462,5.97,34.22
"572812",60,10.29,33.813
"769204",60,13.42,33.035
"421603",150,10.13,33.561
"758215",84,9.22,33.413
"809445",2,13.02,32.947
"849267",50,13.87,32.9956
"462294",1000,4.14,34.5
"558612",1,14.1,32.87
"162349",281,9.82,34.38
"311811",218,10.08,34.51
"292247",500,7.2,34.465
"287163",20,14.47,33.749
"3593",100,10.63,33.255
"392852",559,5.96,34.338
"192652",693,5.52,34.47
"396003",125,9.32,33.978
"830899",100,9.82,33.802
"674018",10,14.19,33.34
"368451",64,14.56,33.583
"443521",0,13.77,33.405
"365297",600,6.21,34.435
"699374",229,7.3,34.004
"634116",164,9.05,33.571
"141078",10,18.66,34.15
"371446",125,9.57,33.99
"598904",181,9.25,33.858
"549258",100,10.26,33.75
"60952",818,4.65,34.36
"764595",119,9.26,33.694
"226516",800,5.67,34.558
"133543",50,10.96,33.46
"531355",165,9.32,33.606
"486370",150,9.54,33.98
"238740",0,30.2,35.17
"710148",145,10.15,33.611
"60098",200,8.49,34.06
"495129",700,4.78,34.38
"442072",75,11.24,33.095
"349155",123,9.49,33.848
"372252",198,8.81,34.018
"426831",109,12.5,34.252
"315646",402,6.54,34.25
"685927",515,5.93,34.29
"174049",215,10.89,33.86
"124057",300,8.81,34.38
"862304",171,9.587,33.6871
"597947",150,11.4,33.416
"697247",515,5.65,34.279
"313459",337,8,34.42
"113391",284,8.53,34.2
"595758",10,14.96,33.105
"196796",933,4.12,34.45
"775322",500,6.39,34.304
"222787",0,18.18,33.6
"463582",1100,3.75,34.462
"239076",473,12.95,35.01
"448618",30,21.94,34.482
"342679",20,20.45,33.813
"409939",30,18.13,33.77
"150520",250,8.92,34.249
"232755",237,10.92,34.72
"828586",150,9.11,34.05
"137549",99,10.44,33.58
"376071",52,10,33.858
"604083",384,6.49,34.129
"521073",100,10.72,33.257
"190939",25,12.3,33.48
"663389",200,8.7,33.809
"41687",125,13.22,33.602
"357182",170,8.88,33.975
"238940",50,24.63,35.28
"61886",205,7.92,33.98
"519235",332,7.09,34.143
"860875",75,15.727,33.4181
"193167",20,16.06,33.57
"267842",563,5.86,34.36
"354005",165,8.4,33.962
"458378",1000,4.33,34.506
"279118",156,11.16,33.82
"623879",100,10.03,33.87
"199586",213,7.58,33.91
"65011",10,22.32,34.171
"659171",0,16.94,33.01
"640515",52,12.41,33.546
"470781",600,4.8,34.18
"98885",199,12.17,34.85
"514230",39,17.67,33.509
"606710",382,8.04,34.216
"276498",132,10.06,33.71
"289196",273,7.64,34.09
"747293",32,12.59,33.498
"403206",300,7.67,34.15
"645919",175,9.17,34.092
"429010",75,10.1,33.59
"215614",124,9.64,33.99
"192318",800,5.26,34.531
"364582",125,13.68,33.791
"739797",377,6.15,34.107
"673467",177,9.14,33.625
"843379",30,14.547,33.4637
"340580",500,5.85,34.245
"728037",41,12.67,33.651
"191012",50,10.85,33.465
"92834",200,8.55,33.943
"318885",31,10,33.84
"489132",75,11.58,33.262
"144084",300,8.88,34.296
"294414",75,13.86,33.665
"191278",124,8.97,33.91
"467689",373,6.65,34.109
"719605",139,8.95,33.933
"420825",75,11.81,33.51
"209666",69,12.94,33.32
"534511",250,9.98,34.361
"399663",157,9.62,33.99
"776130",300,8.15,34.109
"753058",12,15.51,32.764
"555448",21,16.17,33.433
"105405",9,19.98,34.13
"51002",100,10.99,33.68
"410681",500,6.5,34.27
"469870",300,6.63,34.07
"125774",200,8.37,33.951
"42533",1056,3.78,34.43
"59293",600,5.23,34.234
"32834",802,4.34,34.43
"214494",279,10.54,34.78
"713374",316,6.63,34.009
"577800",10,15.44,33.435
"471137",200,12.99,34.05
"455655",250,7.31,34.01
"213863",21,14.8,33.49
"743124",20,16.07,33.483
"297642",176,9.14,33.73
"335406",150,11,33.363
"550231",10,15.03,33.5
"285996",400,7.51,34.319
"603184",33,15.59,33.097
"93247",600,5.31,34.392
"470473",700,3.52,34.19
"786793",20,12.68,32.784
"226177",1500,3.14,34.587
"679826",50,9.64,33.611
"127131",95,9.89,32.74
"561775",75,16.42,33.56
"410917",30,16.34,33.46
"611385",6,13.7,32.687
"71393",500,5.31,34.244
"267239",0,15.23,33.51
"694309",19,13.23,33.549
"731582",20,15.64,33.418
"209265",250,7.43,34.147
"198341",57,10.44,33.69
"823649",140,10.45,33.421
"770357",400,6.45,34.177
"277036",300,7.45,34.023
"184310",125,9.07,33.883
"205545",30,12.8,33.53
"221701",11,12.74,32.96
"137354",50,12.14,33.42
"481689",300,7.75,34.2
"732400",20,13.56,33.535
"360863",250,8.23,34.007
"817156",25,19.14,33.5
"770627",59,9.52,33.9
"815855",441,6.18,34.227
"471245",30,21.79,34.04
"390010",169,8.92,33.984
"635655",555,5.3,34.294
"444770",600,5.28,34.3
"814296",2,18.71,33.534
"533829",40,17.53,33.315
"592904",574,5.01,34.217
"850030",30,18.083,33.3225
"312032",604,5.6,34.45
"272152",250,10.44,34.587
"775965",270,7.76,34.11
"311834",125,10.72,34.008
"676330",200,8.56,33.968
"286692",30,17.01,33.593
"2035",1057,3.34,34.51
"519827",48,12.02,33.514
"428681",75,11.18,33.32
"505781",30,19.09,34.21
"789899",75,9.31,34.003
"180525",45,12.03,33.54
"109656",300,8.28,34.216
"442685",1000,3.77,34.47
"711958",138,10.9,33.547
"680913",50,12.53,33.525
"443877",41,13.31,33.473
"604174",200,8.93,34.111
"9014",800,4.04,34.327
"480138",500,5.81,34.203
"207668",10,16.24,33.57
"476688",229,11.34,34.777
"224361",313,10.51,34.71
"30295",150,9.22,33.704
"579509",75,11.74,33.554
"229674",200,8.6,34.043
"729724",269,7.58,34
"547556",225,7.83,34.006
"485522",20,11.75,33.42
"316611",509,5.32,34.17
"403044",31,10.83,33.492
"676780",144,10.15,33.752
"328867",20,19.73,33.915
"251408",300,7.85,34.21
"404514",123,9.55,33.907
"56886",1199,3.37,34.42
"229725",100,11.74,33.37
"166577",50,11.12,33.417
"634486",99,9.93,33.768
"599699",20,20.41,33.528
"749670",48,14.09,33.015
"706195",0,15.36,33.58
"265423",12,18.09,33.33
"654521",10,14.73,33.444
"150354",30,13.86,33.62
"723355",270,7.53,34.166
"22619",755,4.97,34.46
"573330",150,10.86,33.63
"170206",40,14.54,33.31
"344698",0,10.88,33.437
"789778",11,17.91,33.69
"337601",125,9.24,33.941
"243469",145,9.28,33.77
"255567",41,15.25,33.55
"521964",500,6.4,34.33
"573493",111,12.67,33.618
"472508",600,6.61,34.5
"346984",420,8.82,34.53
"170991",400,7.4,34.012
"412373",244,7.58,34.132
"110948",150,9.14,33.648
"219207",490,7.2,34.5
"9984",900,4.3,34.408
"164423",227,10.8,34.48
"377338",125,9.32,34.06
"403889",0,17.21,33.49
"290385",11,21.16,33.8
"663387",150,9.71,33.472
"139944",50,11.34,33.25
"276286",200,8.18,34.007
"204359",136,11.4,33.78
"136553",400,7.42,34.21
"672922",50,12.72,33.237
"679741",76,11.32,33.375
"670295",518,6.25,34.268
"131430",300,9.34,34.372
"334787",500,5.7,34.162
"472074",150,9.79,33.89
"178575",300,7.47,34.247
"672808",174,8.47,33.684
"17405",600,5.28,34.275
"398102",338,6.88,34.1
"590436",10,13.5,33.534
"613394",20,12.68,32.82
"427190",500,6.13,34.36
"162900",140,10.2,34.15
"584772",73,12.8,33.442
"28259",197,8.44,33.93
"314012",431,8.06,34.56
"806408",20,15.22,33.42
"303326",900,4.76,34.496
"461400",800,5.34,34.51
"49798",1205,3.58,34.54
"644767",200,8.72,34.1
"70688",125,10.94,33.614
"355519",100,13.88,33.612
"180858",125,8.95,34.143
"797923",70,11.19,33.591
"168421",1197,3.7,34.56
"570995",50,12.88,32.774
"227493",77,15.59,34.7
"191988",116,11.62,33.36
"80493",263,8.3,34.29
"9866",30,17.11,33.776
"828670",42,14.51,33.365
"216615",300,7.29,34.121
"860887",201,9.187,33.9271
"312595",154,8.96,33.93
"487243",225,8.3,34.12
"396413",125,10.88,33.53
"819266",170,9.21,34.041
"705013",400,6.78,34.278
"480783",493,7.13,34.441
"212826",15,12.62,33.48
"286018",20,17.7,33.677
"48766",339,7.6,34.14
"2170",64,10.25,33.26
"34900",757,4.06,34.23
"406318",85,12.41,33.458
"381826",10,14.54,33.1
"66113",50,15.23,33.6
"391656",20,12.35,33.415
"577672",100,9.04,33.733
"327190",0,20.32,33.77
"480699",133,10.87,33.796
"787172",2,13.94,33.181
"572762",20,15.37,33.662
"411774",200,7.7,34.043
"820237",50,10.63,33.617
"375312",95,10.38,33.807
"188082",102,10.08,33.4
"823699",11,17.86,33.178
"503288",1011,3.86,34.489
"788246",31,14.03,33.581
"209509",92,10.12,33.73
"284531",0,23.26,33.89
"269958",178,9.49,33.82
"858397",53,16.585,33.4001
"810814",30,15.7,33.198
"415122",150,10.37,33.83
"775512",62,14.36,33.157
"236874",108,10.51,33.99
"806767",320,7.55,34.059
"806012",440,6.06,34.134
"627970",500,5.75,34.27
"537984",500,6.72,34.359
"59250",50,19.12,33.193
"487810",1000,3.97,34.48
"642709",102,10.45,33.556
"6761",125,9.06,32.815
"527201",30,14.09,32.889
"155365",560,5.34,34.38
"496739",15,12.74,33.78
"487235",40,13.26,33.5
"804280",200,8.74,34.08
"740083",500,5.7,34.271
"790517",50,16.82,33.302
"713052",27,14.31,33.198
"293916",41,15.31,33.44
"164384",50,12.02,33.555
"200681",30,20.16,34.143
"301045",11,18.26,33.75
"247250",191,9,34.07
"317961",300,8.3,34.25
"223899",800,5.11,34.53
"610307",325,6.84,34.048
"516233",10,14.74,33.18
"395033",520,6.72,34.429
"532103",315,7.64,34.005
"282958",11,16.69,33.62
"700519",65,10.57,33.749
"705174",85,10.14,33.857
"220541",200,8.49,33.874
"493391",20,14.91,33.611
"311729",55,10.66,33.68
"223888",210,11.6,34.77
"45448",75,11.16,33.46
"641081",2400,1.82,34.648
"114966",963,4.03,34.51
"127732",125,8.86,33.791
"504143",400,6.8,34.3
"327951",20,14.59,33.576
"294862",30,17.47,33.48
"486972",75,10.85,33.68
"195025",1200,3.62,34.528
"425739",250,10.11,34.49
"237040",10,16.85,33.4
"15006",250,6.04,33.882
"531347",75,14.54,33.063
"633709",280,7.6,34.159
"713781",29,15.64,33.119
"586513",200,9.2,34.004
"669220",109,13.22,33.246
"649025",20,16.9,33.092
"726059",110,9.65,33.926
"437515",233,8.14,33.937
"417783",75,11.14,33.57
"635177",250,7.69,34.187
"288241",608,5.18,34.33
"426359",20,16.92,33.402
"541818",300,6.84,34.173
"653065",388,6.38,34.162
"785001",15,13.1,33.6
"305556",243,7.76,34.05
"527760",53,14.41,32.983
"376939",300,7.19,34.193
"528419",255,7.99,34.039
"9716",150,9.53,33.586
"756875",0,19.18,33.51
"771510",10,15.04,33.033
"124094",20,16.88,33.351
"647883",500,5.5,34.212
"601451",468,6.35,34.303
"577576",119,12.08,33.108
"527655",48,9.72,33.842
"60361",179,8.68,33.98
"157832",599,5.95,34.37
"573247",10,17.89,33.563
"810733",383,6.81,34.179
"690399",19,16,33.406
"49751",250,7.79,34.146
"468060",4000,1.49,34.682
"828094",100,9.6,34.082
"470911",300,9.43,34.06
"57605",98,14.06,33.57
"822299",250,8.05,33.998
"290641",75,12.76,33.48
"400117",250,9.03,34.164
"842296",515,5.76,34.1935
"410711",0,17.41,33.63
"267316",47,13.28,33.44
"61847",200,7.76,33.969
"442854",30,14.87,33.22
"41623",200,9.74,34.23
"347590",216,8.93,33.924
"400485",20,19.68,33.985
"746111",20,13.6,33.589
"861918",515,5.489,34.223
"639144",58,15.78,33.369
"560624",42,14.05,33.272
"603235",10,14.67,33.053
"630331",40,15.22,33.664
"752859",300,8,34.227
"273575",0,17.67,33.96
"356282",125,13.64,34.539
"792176",500,6.23,34.316
"632018",125,9.48,33.839
"762512",84,10.25,33.447
"792576",186,8.64,33.869
"730476",265,8.36,34.247
"814734",171,8.81,33.994
"493231",476,6.54,34.299
"706197",10,15.35,33.582
"682054",377,7.07,34.26
"125686",200,8.21,34.047
"438930",125,10.15,33.482
"785952",100,13.12,33.454
"528197",136,10.11,33.429
"451534",75,20.34,34.6
"173437",30,15.06,33.355
"204750",400,8.18,34.108
"537430",438,6.02,34.119
"246612",30,20.47,34.578
"651319",400,6.05,34.093
"399237",89,12.34,33.438
"526414",173,9.79,33.517
"332852",20,17.94,34.035
"563669",146,8.97,33.938
"151947",100,13.5,33.147
"250337",400,7.23,34.356
"189580",50,12.12,33.814
"467644",1500,2.71,34.565
"667157",110,10.48,33.21
"829371",20,14.7,33.599
"514204",96,12.34,33.463
"151056",30,11.93,32.926
"130217",52,11.71,33.28
"698676",145,9.23,33.753
"511652",900,4.36,34.44
"178140",500,6.56,34.446
"697852",3,20.28,33.866
"830180",150,8.57,33.97
"705386",125,10.24,33.657
"808856",50,12.79,33.285
"474793",125,14.9,35.12
"301477",67,12.44,33.69
"132209",20,13.23,33.32
"376847",698,4.74,34.372
"508372",75,10.73,33.59
"716829",400,6.6,34.189
"40852",500,5.07,34.174
"860604",10,15.85,33.5332
"805780",7,19.89,33.59
"401703",300,8.12,34.192
"262504",500,6.41,34.232
"38235",800,4.84,34.426
"223298",171,12.92,34.81
"813761",271,7.33,34.114
"558927",30,13.66,32.804
"500433",40,11.14,33.95
"326618",629,5.78,34.366
"441664",1300,3.07,34.546
"760266",50,12.41,33.263
"843403",30,14.881,33.4467
"141746",57,13.83,33.31
"782481",170,8.79,34.09
"697375",300,7.59,34.015
"42275",82,16.01,33.64
"211445",63,16.07,34.49
"714053",0,17.49,33.06
"302151",75,13.8,33.305
"705955",1,16.77,33.242
"796906",84,9.32,32.793
"98098",200,9.55,34.324
"249390",50,11.51,33.216
"694170",70,10.48,33.744
"621063",100,9.84,33.761
"732505",30,13.14,33.573
"796762",3,15.64,33.511
"781021",500,6.66,34.313
"59399",10,19.68,33.22
"695598",50,18.65,33.463
"383659",150,11.1,34.32
"238524",161,14.73,34.99
"54462",499,5.66,34.29
"109722",300,7.72,34.082
"816584",112,13.93,33.293
"128145",34,14.66,33.39
"790669",2,13.74,33.305
"285262",300,8.2,34.364
"816093",380,7.31,34.258
"727901",50,13.3,33.563
"334177",511,5.35,34.228
"530324",257,7.14,34.023
"157690",98,15.28,33.58
"575060",53,14.1,33.522
"777049",75,12.26,33.346
"517316",519,5.9,34.249
"786072",169,9.89,34.033
"860649",3,16.314,33.5159
"549159",50,11.17,33.84
"438895",294,8.5,34.168
"484164",200,9.61,34.26
"529987",110,8.46,33.803
"304713",149,11.36,33.97
"719961",50,16.24,33.323
"611229",325,7.25,34.095
"236966",187,8.4,33.93
"838155",30,11.403,33.4789
"20029",125,8.85,33.298
"511662",100,11.06,33.54
"323496",9,15.84,32.96
"57983",25,18.73,33.57
"540247",150,11.73,34.409
"675864",75,11.78,33.256
"758470",30,10.76,33.453
"652750",31,14.06,33.434
"359152",31,14.4,33.6
"64736",300,9.4,34.5
"246429",314,9.16,34.49
"769798",140,10.2,33.718
"581714",332,7.69,34.181
"403841",400,7.53,34.282
"190703",400,5.83,34.053
"817692",20,12.89,32.694
"537004",255,8.08,33.992
"729160",109,11.25,33.492
"402499",200,8.22,33.976
"241001",75,17.53,33.66
"70857",73,10.14,33.55
"794714",149,8.14,34.024
"101472",500,7.24,34.602
"571558",2,12.14,32.986
"385285",200,8.86,34.148
"806788",41,11.63,33.467
"699318",10,15.38,33.231
"610264",475,5.45,34.102
"14233",797,4.11,34.33
"35772",30,16,33.763
"62886",9,23.09,34.42
"271131",200,10.45,34.117
"491877",350,7.71,34.25
"405165",10,19.71,33.77
"424336",75,9.04,33.57
"12912",400,8.11,34.421
"760710",1,15.52,32.946
"128807",20,13.44,34.05
"863917",300,7.345,34.0601
"578251",150,8.67,34
"757622",199,8.81,34.246
"287936",125,11.67,33.435
"41442",800,4.89,34.517
"208443",400,7.9,34.42
"134946",1100,3.72,34.552
"516868",200,8.65,33.938
"318662",0,17.48,33.81
"604387",100,10.58,33.632
"515964",200,8.9,34.095
"613792",58,8.74,33.805
"140944",68,13.99,33.1
"746436",16,15.64,33.521
"264250",121,10.92,33.48
"566168",81,11.87,33.534
"669497",75,12.81,33.361
"771144",150,8.92,33.82
"272554",72,17.5,34.27
"273098",89,21.12,34.42
"167869",393,8.87,34.43
"132324",45,12.29,33.43
"403780",250,8.96,34.274
"729604",54,14.59,33.289
"620365",250,7.58,34.031
"420924",50,10.47,33.55
"724476",1,12.38,33.448
"263621",102,13.56,33.57
"179509",100,10.44,33.241
"542103",0,16.25,33.566
"638303",118,9.16,33.732
"651814",10,14.94,33.506
"140954",213,8.28,33.9
"568492",11,17.15,33.61
"52097",150,7.32,33.892
"98444",1100,3.85,34.533
"851402",10,17.091,33.2789
"488803",10,17.77,34.17
"354505",31,19.8,34.443
"591866",50,17.15,33.435
"149047",800,4.28,34.399
"498019",700,5.31,34.413
"804081",170,9.93,33.541
"242938",30,13.09,33.421
"701866",250,8.47,34.15
"370506",10,13.56,33.538
"680865",10,14.95,33.538
"449618",150,8.31,33.91
"259583",315,7.96,34.2
"432478",250,10,34.1
"543817",10,16.17,33.633
"722355",20,15.53,33.313
"205985",30,13.7,33.596
"860220",20,13.621,33.5259
"577346",125,10.14,33.76
"153028",30,17,33.802
"781633",27,18.51,33.449
"659896",100,12.7,33.328
"158653",50,9.03,33.804
"848710",100,10.351,33.5575
"23875",514,5.41,34.15
"462905",700,6.09,34.54
"781497",32,15.63,33.235
"122307",29,12.78,33.75
"503449",400,7.8,34.322
"704177",96,13.46,33.185
"688028",150,12.26,33.652
"41728",300,8.66,34.266
"566509",75,12.88,33.407
"537484",400,7.21,34.281
"672987",119,9.7,33.611
"733424",519,5.91,34.345
"772720",10,11.05,33.674
"487083",75,11.8,33.55
"795613",100,9.15,34.054
"135658",600,4.87,34.312
"267255",48,12.4,33.19
"508502",275,8.03,34.12
"245323",216,8.84,34.09
"130820",341,6.78,34.18
"822216",2,16.88,33.207
"390131",479,6.62,34.292
"458349",20,21.63,34.693
"840887",0,18.088,33.4312
"670868",500,6.17,34.29
"454073",143,8.93,33.973
"332775",204,10.89,34.291
"392009",151,8.96,33.868
"444469",800,4.7,34.457
"589325",204,7.97,33.987
"437933",75,10.01,33.64
"193050",1000,4.12,34.532
"452169",10,14.23,33.421
"630719",0,19.48,33.628
"407424",98,12.38,33.307
"266811",201,9.62,34.02
"650259",122,10.39,33.684
"410435",30,17.63,33.64
"557340",300,7.76,34.162
"652210",75,11.01,33.413
"770773",71,11.52,33.183
"215638",100,10.56,33.884
"430194",125,9.48,34.014
"454175",20,12.07,33.606
"520562",10,14.8,33.342
"801386",500,5.9,34.233
"101522",50,17.35,33.69
"307426",50,13.15,32.935
"106801",782,4.77,34.45
"418081",0,14.56,33.34
"245202",30,18.03,34.36
"546212",200,9.34,33.782
"126709",79,8.55,33.83
"535586",9,15.54,33.283
"521180",317,8.25,34.263
"228007",91,14.78,34.84
"839809",269,7.428,33.9835
"320454",196,9.42,34.02
"6727",100,8.76,32.794
"115755",49,14.24,33.66
"398254",427,6.16,34.14
"562925",60,11.78,33.544
"739816",109,10.28,33.288
"429758",150,8.4,33.922
"591403",10,17.18,33.645
"725902",7,14.32,33.646
"288083",589,5.03,34.25
"314769",211,12.1,34.76
"71208",25,17.21,33.57
"599894",50,16.87,33.153
"533355",278,7.85,34.247
"465424",400,5.82,34.13
"489956",400,6.71,34.19
"554303",300,8.6,34.134
"60487",300,8,34.14
"673896",94,12.26,32.893
"408457",125,9.77,33.748
